term,chi_square
недостаток_NOUN,746.423642108467
слабый_ADJF,352.69156595787956
приходиться_INFN,341.50679290949796
мало_ADVB,336.37217437176304
постоянно_ADVB,228.87705430634
кнопка_NOUN,224.60258770816088
сильно_ADVB,221.57379663591908
начинать_INFN,198.3121334749446
часто_ADVB,196.63501496274597
ужасный_ADJF,190.29290841202686
проблема_NOUN,188.12678730414362
перезагрузка_NOUN,176.46764633572317
неудобный_ADJF,172.36226247627053
отсутствие_NOUN,166.82708960166613
греться_INFN,156.63441332041444
перезагружаться_INFN,156.5625489456136
прийтись_INFN,155.56437542404225
неудобно_ADVB,153.44231173132422
пока_ADVB,151.66873777963042
стать_INFN,149.59603042930328
бывать_INFN,141.0477112444421
невозможно_ADVB,139.0808959282093
разряжаться_INFN,132.80266021191088
садиться_INFN,132.79532329396616
выключаться_INFN,131.34318332926108
время_NOUN,128.22466633559057
немного_ADVB,124.14047109386777
начать_INFN,121.68220912590208
слабоватый_ADJF,121.26444548495728
отвратительный_ADJF,104.38139062947171
контакт_NOUN,102.1425013314127
терять_INFN,101.90236171409913
периодически_ADVB,99.70809353538006
память_NOUN,95.9596441276928
перестать_INFN,95.17316591995404
раздражать_INFN,94.88981621351154
крышка_NOUN,93.40230946448582
включаться_INFN,92.56387279380479
решаться_INFN,92.48685994266253
лечиться_INFN,90.69526617048447
чехол_NOUN,90.01495266244122
слишком_ADVB,88.72326282678607
стилус_NOUN,88.7081599003172
ужасно_ADVB,86.83623951707821
скользкий_ADJF,86.66445270169538
месяц_NOUN,86.62737804947947
включить_INFN,86.38940707476551
нагреваться_INFN,85.84092865189044
папка_NOUN,83.29548245746413
батарея_NOUN,81.96925472740823
найти_INFN,81.7607635255676
зависать_INFN,81.48070232513763
обнаружить_INFN,79.99924047822705
некоторый_ADJF,79.62627227733982
выявить_INFN,79.01082539315229
гарантия_NOUN,78.97789759073112
подвисать_INFN,72.92896247730842
приложение_NOUN,72.40737817238022
маловато_ADVB,71.43812772768568
нажимать_INFN,70.5365666978092
исправить_INFN,70.39952564721008
жутко_ADVB,69.25408910020833
медленно_ADVB,68.2784513207789
сим_NOUN,67.25190412430658
мочь_NOUN,66.76090722011955
будильник_NOUN,66.7409417108206
ужас_NOUN,66.64201579452988
пропадать_INFN,65.65031131696541
хотеться_INFN,62.11623025984761
вылетать_INFN,62.08421984789705
критично_ADVB,61.8610746217029
ремонт_NOUN,61.71045078222341
появляться_INFN,61.64930313933685
брак_NOUN,61.64907307566219
номер_NOUN,61.25022039305438
переставать_INFN,60.47358372411271
задний_ADJF,59.68066597305903
перезагружать_INFN,58.98923297951248
хрупкий_ADJF,58.98923297951248
выпадать_INFN,58.62928612282798
бесить_INFN,57.12001527400374
маленький_ADJF,56.73224733900855
ждать_INFN,56.559227405836396
сервис_NOUN,56.16341676728773
виснуть_INFN,56.08699829557953
звонить_INFN,55.82269972280207
оперативный_ADJF,54.73575024351665
завысить_INFN,54.62020675812856
глючить_INFN,54.362581441272816
тупить_INFN,54.050662823041556
подтормаживать_INFN,53.960747693689044
единственный_ADJF,53.52321617803317
вызов_NOUN,53.08369578754347
плохой_ADJF,53.007571076632466
сеть_NOUN,52.79518414910955
непонятно_ADVB,52.66913323935033
придирка_NOUN,52.66913323935033
пластиковый_ADJF,52.2740947381493
сделать_INFN,52.20002258763816
включение_NOUN,51.319441646145435
решить_INFN,51.078263195245995
мелодия_NOUN,50.72091999658084
отключаться_INFN,50.406941027234524
мб_NOUN,50.387346657155284
центр_NOUN,49.62518289478147
удалить_INFN,49.32108103488769
симка_NOUN,48.96610962956454
маркий_ADJF,48.792093825023784
происходить_INFN,48.790517400043576
верхний_ADJF,48.690104771072164
медленный_ADJF,48.419586405000594
тихий_ADJF,48.27955428899086
зарядка_NOUN,48.26268671587107
пытаться_INFN,48.106879168018764
ненужный_ADJF,47.52658583188249
убогий_ADJF,46.816069085351224
крепление_NOUN,46.816069085351224
позвонить_INFN,46.621399572217165
непонятный_ADJF,45.84058120100633
почему_ADVB,45.426654999229925
невозможность_NOUN,44.86509983305539
неприятно_ADVB,44.86509983305539
заводский_ADJF,44.86509983305539
сломаться_INFN,44.5174683648365
срабатывать_INFN,44.292363268515174
удалять_INFN,43.889624981433116
дозвониться_INFN,42.914156646074204
умереть_INFN,42.914156646074204
менять_INFN,42.08235609484217
перепрошивка_NOUN,41.93869482691337
отстой_NOUN,41.93869482691337
