term,tone
телефон_NOUN,negative
очень_ADVB,negative
экран_NOUN,negative
хороший_ADJF,positive
камера_NOUN,negative
весь_ADJF,negative
работать_INFN,negative
день_NOUN,negative
батарея_NOUN,negative
приложение_NOUN,negative
качество_NOUN,negative
отличный_ADJF,positive
год_NOUN,negative
цена_NOUN,negative
один_ADJF,negative
аппарат_NOUN,negative
звук_NOUN,negative
купить_INFN,negative
который_ADJF,negative
удобный_ADJF,positive
пользоваться_INFN,negative
такой_ADJF,negative
рука_NOUN,negative
память_NOUN,negative
использование_NOUN,negative
время_NOUN,negative
большой_ADJF,negative
интернет_NOUN,negative
игра_NOUN,negative
недостаток_NOUN,negative
самый_ADJF,negative
свой_ADJF,negative
проблема_NOUN,neutral
смартфон_NOUN,negative
андроид_NOUN,negative
работа_NOUN,negative
хватать_INFN,negative
брать_INFN,negative
модель_NOUN,negative
видео_NOUN,negative
держать_INFN,negative
дизайн_NOUN,negative
корпус_NOUN,negative
прошивка_NOUN,negative
быстро_ADVB,negative
аккумулятор_NOUN,negative
наушник_NOUN,negative
карта_NOUN,negative
музыка_NOUN,negative
кнопка_NOUN,negative
покупать_INFN,negative
вообще_ADVB,negative
удобно_ADVB,negative
дисплей_NOUN,negative
месяц_NOUN,negative
мочь_NOUN,negative
деньга_NOUN,negative
крышка_NOUN,negative
самсунг_NOUN,negative
покупка_NOUN,negative
стать_INFN,negative
довольный_ADJF,positive
динамик_NOUN,negative
пока_ADVB,negative
айфон_NOUN,negative
нормальный_ADJF,positive
быстрый_ADJF,negative
задний_ADJF,negative
зарядка_NOUN,negative
другой_ADJF,negative
звонок_NOUN,negative
сказать_INFN,negative
хотеть_INFN,negative
долго_ADVB,negative
тот_ADJF,negative
программа_NOUN,negative
функция_NOUN,negative
стоить_INFN,negative
думать_INFN,negative
громкий_ADJF,negative
мой_ADJF,negative
сенсор_NOUN,negative
нужный_ADJF,negative
чехол_NOUN,negative
использовать_INFN,negative
сразу_ADVB,negative
новый_ADJF,negative
режим_NOUN,negative
яркий_ADJF,positive
раз_NOUN,negative
сборка_NOUN,negative
найти_INFN,negative
возможность_NOUN,negative
сделать_INFN,negative
маленький_ADJF,negative
процессор_NOUN,negative
мало_ADVB,negative
советовать_INFN,negative
тормозить_INFN,neutral
писать_INFN,negative
размер_NOUN,negative
смотреть_INFN,negative
несколько_ADVB,negative
сильно_ADVB,negative
палец_NOUN,negative
качественный_ADJF,positive
общий_ADJF,negative
отлично_ADVB,negative
достоинство_NOUN,positive
нравиться_INFN,positive
постоянно_ADVB,negative
меню_NOUN,negative
целое_NOUN,negative
настройка_NOUN,negative
достаточно_ADVB,negative
фото_NOUN,negative
сеть_NOUN,negative
плеер_NOUN,negative
плохой_ADJF,negative
быть_INFN,negative
супер_ADJF,negative
взять_INFN,negative
немного_ADVB,negative
делать_INFN,negative
никакой_ADJF,negative
гб_NOUN,negative
смс_NOUN,negative
пара_NOUN,negative
мощный_ADJF,positive
знать_INFN,negative
неплохой_ADJF,positive
часы_NOUN,negative
глюк_NOUN,negative
неделя_NOUN,negative
комплект_NOUN,negative
какой_ADJF,negative
заряд_NOUN,negative
довольно_ADVB,negative
снимать_INFN,negative
приходиться_INFN,negative
глючить_INFN,negative
момент_NOUN,negative
стилус_NOUN,negative
софт_NOUN,negative
связь_NOUN,negative
ещё_ADVB,negative
вполне_ADVB,negative
лежать_INFN,negative
обновление_NOUN,negative
интерфейс_NOUN,negative
полный_ADJF,neutral
поставить_INFN,negative
понравиться_INFN,positive
сенсорный_ADJF,negative
идти_INFN,negative
приятный_ADJF,positive
радовать_INFN,negative
часто_ADVB,negative
хотеться_INFN,negative
каждый_ADJF,negative
сравнение_NOUN,negative
вид_NOUN,negative
слабый_ADJF,neutral
батарейка_NOUN,negative
стекло_NOUN,negative
красивый_ADJF,positive
внешний_ADJF,neutral
последний_ADJF,negative
скорость_NOUN,negative
главный_ADJF,negative
отзыв_NOUN,positive
некоторый_ADJF,negative
куча_NOUN,negative
дать_INFN,negative
говорить_INFN,negative
данный_ADJF,negative
устройство_NOUN,negative
час_NOUN,negative
прийтись_INFN,negative
система_NOUN,negative
менять_INFN,negative
выбор_NOUN,negative
играть_INFN,negative
пожалеть_INFN,positive
особенно_ADVB,negative
контакт_NOUN,negative
царапаться_INFN,negative
активный_ADJF,positive
начать_INFN,negative
разговор_NOUN,negative
версия_NOUN,negative
поэтому_ADVB,negative
лёгкий_ADJF,negative
шустрый_ADJF,positive
вспышка_NOUN,neutral
стандартный_ADJF,negative
половина_NOUN,negative
встроить_INFN,negative
магазин_NOUN,negative
плёнка_NOUN,negative
включить_INFN,negative
человек_NOUN,negative
царапина_NOUN,negative
практически_ADVB,negative
видеть_INFN,negative
лично_ADVB,negative
немой_ADJF,negative
читать_INFN,negative
остальной_ADJF,negative
громкость_NOUN,negative
полностью_ADVB,negative
решить_INFN,negative
начинать_INFN,negative
ставить_INFN,negative
легко_ADVB,negative
считать_INFN,negative
тысяча_NOUN,negative
клавиатура_NOUN,negative
иметь_INFN,negative
любой_NOUN,negative
карман_NOUN,negative
звонить_INFN,negative
пользование_NOUN,negative
сутки_NOUN,negative
зависать_INFN,negative
разрешение_NOUN,negative
место_NOUN,negative
рубль_NOUN,negative
слушать_INFN,negative
высокий_ADJF,negative
назад_ADVB,negative
минута_NOUN,negative
выбирать_INFN,negative
греться_INFN,negative
фильм_NOUN,negative
сидеть_INFN,negative
производительность_NOUN,positive
бывать_INFN,negative
отсутствие_NOUN,negative
ловить_INFN,negative
нокия_NOUN,negative
падать_INFN,negative
разный_ADJF,neutral
обычный_ADJF,negative
тонкий_ADJF,positive
простой_NOUN,negative
браузер_NOUN,negative
яркость_NOUN,positive
огромный_ADJF,neutral
дело_NOUN,negative
установить_INFN,negative
чёткий_ADJF,negative
смарт_NOUN,negative
тормоз_NOUN,neutral
чёрный_NOUN,negative
цвет_NOUN,negative
больший_ADJF,negative
отпечаток_NOUN,negative
сам_ADJF,negative
всякий_ADJF,negative
рекомендовать_INFN,negative
вызов_NOUN,negative
уровень_NOUN,negative
худой_ADJF,negative
понять_INFN,positive
пластик_NOUN,negative
многий_ADJF,negative
реагировать_INFN,negative
рабочий_NOUN,negative
кома_NOUN,negative
приятно_ADVB,negative
привыкнуть_INFN,positive
этот_ADJF,negative
наличие_NOUN,negative
навигатор_NOUN,negative
написать_INFN,negative
стол_NOUN,negative
управление_NOUN,negative
ждать_INFN,negative
случай_NOUN,negative
девайс_NOUN,negative
слишком_ADVB,negative
поддержка_NOUN,positive
заметить_INFN,negative
пора_NOUN,negative
устраивать_INFN,negative
порадовать_INFN,negative
почему_ADVB,negative
динамика_NOUN,negative
итог_NOUN,negative
летать_INFN,negative
действительно_ADVB,negative
сравнивать_INFN,negative
взгляд_NOUN,negative
достойный_ADJF,negative
долгий_ADJF,negative
файл_NOUN,negative
высота_NOUN,negative
ос_NOUN,negative
набор_NOUN,negative
мп_NOUN,negative
количество_NOUN,negative
железо_NOUN,negative
глаз_NOUN,negative
идеальный_ADJF,positive
небольшой_ADJF,negative
замена_NOUN,negative
сей_VERB,negative
флешек_NOUN,negative
дешёвый_ADJF,negative
инуть_INFN,negative
принцип_NOUN,negative
получаться_INFN,negative
первое_NOUN,negative
установка_NOUN,negative
снимка_NOUN,negative
блокировка_NOUN,negative
единственный_ADJF,negative
секунда_NOUN,negative
выглядеть_INFN,negative
картинка_NOUN,negative
остаться_INFN,negative
появиться_INFN,negative
нокиа_NOUN,negative
ужасный_ADJF,negative
гарнитур_NOUN,negative
поменять_INFN,negative
дорогой_ADVB,positive
нажатие_NOUN,negative
игрушка_NOUN,neutral
панель_NOUN,negative
реально_ADVB,negative
навигация_NOUN,negative
текст_NOUN,negative
фотография_NOUN,negative
материал_NOUN,negative
