term,chi_square
хороший_ADJF камера_NOUN,221.74200282539
большой_ADJF экран_NOUN,210.42609217854235
яркий_ADJF экран_NOUN,159.61457784720662
очень_ADVB хороший_ADJF,147.22172124551358
хороший_ADJF звук_NOUN,144.9985785664418
отличный_ADJF камера_NOUN,141.4459403882981
хороший_ADJF экран_NOUN,128.27617331453317
внешний_ADJF вид_NOUN,123.07977761650488
экран_NOUN хороший_ADJF,96.23689830756425
отличный_ADJF экран_NOUN,91.96000284516323
неплохой_ADJF камера_NOUN,86.3379611648462
громкий_ADJF динамик_NOUN,85.17369100261651
хороший_ADJF качество_NOUN,84.89394266951544
отличный_ADJF звук_NOUN,79.7635173866929
очень_ADVB удобный_ADJF,74.1849730111447
отличный_ADJF телефон_NOUN,68.76178797598365
камера_NOUN отличный_ADJF,68.08037233342012
громкий_ADJF звук_NOUN,65.87146363506352
удобный_ADJF использование_NOUN,64.84116246091386
удобный_ADJF интерфейс_NOUN,62.21894301094259
отличный_ADJF качество_NOUN,60.37345260435801
удобный_ADJF меню_NOUN,60.03960954330829
камера_NOUN хороший_ADJF,59.60175898941397
красивый_ADJF дизайн_NOUN,57.86319333380533
хороший_ADJF телефон_NOUN,55.20573057131846
экран_NOUN отличный_ADJF,54.21564494127127
мощный_ADJF процессор_NOUN,52.13204813220236
хороший_ADJF сенсор_NOUN,52.02752448596823
очень_ADVB шустрый_ADJF,49.59415217958955
звук_NOUN отличный_ADJF,48.13432823822587
отличный_ADJF дизайн_NOUN,47.4044429342421
яркий_ADJF дисплей_NOUN,47.274804138601844
звук_NOUN хороший_ADJF,45.907827246232486
качественный_ADJF звук_NOUN,44.61274837131438
качественный_ADJF сборка_NOUN,43.75528305532568
телефон_NOUN хороший_ADJF,43.6878600337024
громкий_ADJF динамика_NOUN,43.27856402105687
очень_ADVB громкий_ADJF,42.45042541401147
качественный_ADJF экран_NOUN,37.18791496094976
чёткий_ADJF экран_NOUN,36.72142079884104
стильный_ADJF дизайн_NOUN,35.9931539360178
большой_ADJF дисплей_NOUN,34.934300105679554
экран_NOUN яркий_ADJF,33.99096844678094
приятный_ADJF ощупь_NOUN,33.99096844678094
очень_ADVB быстрый_ADJF,33.860064252977764
хороший_ADJF дизайн_NOUN,33.80878485254193
приятный_ADJF дизайн_NOUN,33.539999035550416
дизайн_NOUN хороший_ADJF,32.810469146861976
очень_ADVB яркий_ADJF,30.27286445905088
хороший_ADJF наушник_NOUN,29.569491144808094
хороший_ADJF дисплей_NOUN,29.44231329465549
достаточно_ADVB громкий_ADJF,29.163086149690322
один_ADJF удовольствие_NOUN,28.866996190508775
адекватный_ADJF цена_NOUN,28.43366283496882
телефон_NOUN отличный_ADJF,28.422130388622755
очень_ADVB полезный_ADJF,27.704257280304656
хороший_ADJF динамик_NOUN,26.245499448553844
экран_NOUN удобный_ADJF,25.53538032819418
мощный_ADJF железо_NOUN,25.53538032819418
шустрый_ADJF процессор_NOUN,25.516147170170036
довольно_ADVB шустрый_ADJF,24.786812649249246
быстрый_ADJF процессор_NOUN,24.353183889512
чистый_ADJF звук_NOUN,24.05749588514297
очень_ADVB приятный_ADJF,23.964672618561377
тонкий_ADJF корпус_NOUN,23.626754979755077
дизайн_NOUN удобный_ADJF,23.32819687720274
отличный_ADJF сенсор_NOUN,23.32819687720274
дисплей_NOUN хороший_ADJF,23.32819687720274
низкий_ADJF цена_NOUN,22.65512806468347
камера_NOUN удобный_ADJF,22.65512806468347
очень_ADVB качественный_ADJF,22.619595136100322
высокий_ADJF качество_NOUN,22.54235453024279
очень_ADVB довольный_ADJF,22.433227144571674
рука_NOUN хороший_ADJF,21.869652127226686
отличный_ADJF дисплей_NOUN,21.869652127226686
хороший_ADJF комплектация_NOUN,21.448604244679935
камера_NOUN супер_ADJF,21.448604244679935
отзывчивый_ADJF сенсор_NOUN,21.14040638389409
чувствительный_ADJF сенсор_NOUN,20.874947140307395
хороший_ADJF батарея_NOUN,20.722984654668576
быстрый_ADJF интернет_NOUN,20.500415306361518
всякий_ADJF похвала_NOUN,20.411178394133973
звук_NOUN удобный_ADJF,20.411178394133973
высокий_ADJF уровень_NOUN,19.735837098300177
понятный_ADJF меню_NOUN,19.68196815729803
яркий_ADJF цвет_NOUN,19.272506172086487
очень_ADVB красивый_ADJF,19.00323539741862
интуитивно_ADVB понятный_ADJF,19.00323539741862
громкий_ADJF звонок_NOUN,18.95277567273798
удобный_ADJF размер_NOUN,18.95277567273798
огромный_ADJF количество_NOUN,18.58349785411817
удобный_ADJF рука_NOUN,18.54769444039674
высокий_ADJF производительность_NOUN,18.54769444039674
хороший_ADJF аккумулятор_NOUN,18.351730225595677
хороший_ADJF сборка_NOUN,18.351730225595677
камера_NOUN неплохой_ADJF,18.348215808747696
цена_NOUN хороший_ADJF,18.223600939805575
никакой_ADJF тормоз_NOUN,18.223600939805575
экран_NOUN чёткий_ADJF,17.823204576635195
экран_NOUN супер_ADJF,17.823204576635195
главный_ADJF достоинство_NOUN,17.494443957852596
выше_ADVB всякий_ADJF,17.494443957852596
оптимальный_ADJF размер_NOUN,17.494443957852596
дисплей_NOUN отличный_ADJF,17.494443957852596
сенсорный_ADJF экран_NOUN,17.145886073622147
отличный_ADJF модель_NOUN,17.099069163874884
удобный_ADJF управление_NOUN,17.099069163874884
динамик_NOUN хороший_ADJF,16.9234371877436
сочный_ADJF экран_NOUN,16.76530472623086
отличный_ADJF сборка_NOUN,16.76530472623086
мощный_ADJF начинка_NOUN,16.210776379217073
экран_NOUN громкий_ADJF,16.036183244292214
хороший_ADJF динамика_NOUN,16.036183244292214
приличный_ADJF камера_NOUN,16.036183244292214
экран_NOUN качественный_ADJF,16.036183244292214
хороший_ADJF разрешение_NOUN,16.036183244292214
свой_ADJF деньга_NOUN,15.817423013088234
динамик_NOUN громкий_ADJF,15.496190591996466
неплохой_ADJF экран_NOUN,15.307079511388535
сенсор_NOUN хороший_ADJF,15.307079511388535
неплохой_ADJF качество_NOUN,15.307079511388535
качественный_ADJF дисплей_NOUN,15.307079511388535
экран_NOUN быстрый_ADJF,15.307079511388535
насыщенный_ADJF цвет_NOUN,15.307079511388535
качественный_ADJF камера_NOUN,14.929193663263176
сборка_NOUN отличный_ADJF,14.929193663263176
хороший_ADJF аппарат_NOUN,14.929193663263176
телефон_NOUN удобный_ADJF,14.788929310712453
понятный_ADJF интерфейс_NOUN,14.788929310712453
очень_ADVB лёгкий_ADJF,14.788929310712453
отличный_ADJF звучание_NOUN,13.84892529009375
супер_ADJF телефон_NOUN,13.84892529009375
цена_NOUN отличный_ADJF,13.84892529009375
неплохой_ADJF дизайн_NOUN,13.84892529009375
хороший_ADJF цена_NOUN,13.119874800406555
интернет_NOUN хороший_ADJF,13.119874800406555
отличный_ADJF наушник_NOUN,13.119874800406555
неплохой_ADJF звук_NOUN,13.119874800406555
красочный_ADJF экран_NOUN,13.119874800406555
звук_NOUN большой_ADJF,13.119874800406555
удобный_ADJF телефон_NOUN,12.76427127386595
крепкий_ADJF корпус_NOUN,12.76427127386595
цена_NOUN такой_ADJF,12.7242760242802
хороший_ADJF модель_NOUN,12.666818891182926
рукописный_ADJF ввод_NOUN,12.666818891182926
достаточно_ADVB хороший_ADJF,12.390842057162157
камера_NOUN громкий_ADJF,12.390842057162157
симпатичный_ADJF дизайн_NOUN,12.390842057162157
удобный_ADJF экран_NOUN,12.390842057162157
отличный_ADJF динамика_NOUN,12.390842057162157
динамика_NOUN хороший_ADJF,12.390842057162157
очень_ADVB достойный_ADJF,12.390842057162157
достаточно_ADVB мощный_ADJF,12.390842057162157
экран_NOUN тонкий_ADJF,12.390842057162157
один_ADJF царапина_NOUN,12.101002437481565
прочный_ADJF корпус_NOUN,12.044086229580493
дисплей_NOUN яркий_ADJF,12.044086229580493
хороший_ADJF смартфон_NOUN,12.044086229580493
огромный_ADJF экран_NOUN,12.044086229580493
богатый_ADJF комплектация_NOUN,12.044086229580493
металлический_ADJF корпус_NOUN,12.037580586125856
полезный_ADJF функция_NOUN,11.962965195373625
очень_ADVB неплохой_ADJF,11.962965195373625
экран_NOUN большой_ADJF,11.690753587180101
отличный_ADJF фото_NOUN,11.66182705971259
сенсор_NOUN отличный_ADJF,11.66182705971259
камера_NOUN свой_ADJF,11.66182705971259
хороший_ADJF звучание_NOUN,11.66182705971259
удобный_ADJF сенсор_NOUN,11.66182705971259
удобный_ADJF вещь_NOUN,11.66182705971259
отличный_ADJF батарея_NOUN,11.66182705971259
телефон_NOUN громкий_ADJF,11.66182705971259
сплошной_ADJF достоинство_NOUN,11.66182705971259
огромный_ADJF выбор_NOUN,11.66182705971259
достаточно_ADVB большой_ADJF,11.35393318455254
рука_NOUN удобный_ADJF,11.324806592217017
шустрый_ADJF телефон_NOUN,11.324806592217017
экран_NOUN высокий_ADJF,11.324806592217017
нормальный_ADJF камера_NOUN,11.261232318835761
память_NOUN хороший_ADJF,10.932829807409922
удобный_ADJF простой_NOUN,10.932829807409922
красивый_ADJF телефон_NOUN,10.932829807409922
меню_NOUN хороший_ADJF,10.932829807409922
чёткий_ADJF камера_NOUN,10.932829807409922
приемлемый_ADJF цена_NOUN,10.932829807409922
дизайн_NOUN отличный_ADJF,10.932829807409922
чёткий_ADJF дисплей_NOUN,10.932829807409922
