term,frequency,tone
телефон_NOUN,13004,negative
очень_ADVB,7831,negative
экран_NOUN,6981,negative
хороший_ADJF,5305,positive
камера_NOUN,5178,negative
весь_ADJF,3332,negative
работать_INFN,3225,negative
день_NOUN,3158,negative
батарея_NOUN,3126,negative
приложение_NOUN,2908,negative
качество_NOUN,2898,negative
отличный_ADJF,2852,positive
год_NOUN,2803,negative
цена_NOUN,2752,negative
один_ADJF,2729,negative
аппарат_NOUN,2593,negative
звук_NOUN,2553,negative
купить_INFN,2365,negative
который_ADJF,2358,negative
удобный_ADJF,2320,positive
пользоваться_INFN,2217,negative
такой_ADJF,2203,negative
рука_NOUN,2062,negative
память_NOUN,2060,negative
использование_NOUN,2007,negative
время_NOUN,2002,negative
большой_ADJF,1931,negative
интернет_NOUN,1924,negative
игра_NOUN,1901,negative
недостаток_NOUN,1881,negative
самый_ADJF,1848,negative
свой_ADJF,1807,negative
проблема_NOUN,1781,neutral
смартфон_NOUN,1736,negative
андроид_NOUN,1611,negative
работа_NOUN,1595,negative
хватать_INFN,1580,negative
брать_INFN,1576,negative
модель_NOUN,1549,negative
видео_NOUN,1540,negative
держать_INFN,1537,negative
дизайн_NOUN,1533,negative
корпус_NOUN,1496,negative
прошивка_NOUN,1485,negative
быстро_ADVB,1478,negative
аккумулятор_NOUN,1476,negative
наушник_NOUN,1445,negative
карта_NOUN,1421,negative
музыка_NOUN,1416,negative
кнопка_NOUN,1412,negative
покупать_INFN,1401,negative
вообще_ADVB,1352,negative
удобно_ADVB,1338,negative
дисплей_NOUN,1309,negative
месяц_NOUN,1298,negative
мочь_NOUN,1270,negative
деньга_NOUN,1247,negative
крышка_NOUN,1241,negative
самсунг_NOUN,1234,negative
покупка_NOUN,1202,negative
стать_INFN,1200,negative
довольный_ADJF,1196,positive
динамик_NOUN,1172,negative
пока_ADVB,1171,negative
айфон_NOUN,1169,negative
нормальный_ADJF,1167,positive
быстрый_ADJF,1160,negative
задний_ADJF,1154,negative
зарядка_NOUN,1134,negative
другой_ADJF,1130,negative
звонок_NOUN,1116,negative
сказать_INFN,1095,negative
хотеть_INFN,1090,negative
долго_ADVB,1080,negative
тот_ADJF,1056,negative
программа_NOUN,1045,negative
функция_NOUN,1037,negative
стоить_INFN,1030,negative
